Frame,Timestamp,HMD_x,HMD_y,HMD_z,HMD_rot_x,HMD_rot_y,HMD_rot_z,HandR_x,HandR_y,HandR_z,HandR_rot_x,HandR_rot_y,HandR_rot_z,HandL_x,HandL_y,HandL_z,HandL_rot_x,HandL_rot_y,HandL_rot_z,Velocity_HandR_x,Velocity_HandR_y,Velocity_HandR_z,Velocity_HandL_x,Velocity_HandL_y,Velocity_HandL_z,Distance,Zone,Status
79,1.6597,5.1609,1.1932,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6167,Far,Move
80,1.6899,5.1609,1.1932,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6167,Far,Stop
81,1.7145,5.1609,1.1932,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6167,Far,Stop
82,1.7397,5.1609,1.1932,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6167,Far,Stop
83,1.7675,5.1609,1.1932,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6167,Far,Stop
84,1.794,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Move
85,1.8225,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
86,1.8496,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
87,1.8775,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
88,1.9048,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
89,1.933,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.3522,0.3633,0.448,31.8886,115.0188,162.9366,0.0,0.0,1.9504,12.4883,12.8849,17.838,1.62,Far,Stop
90,1.9787,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-1.202,-7.6967,-7.9411,-10.9937,1.62,Far,Stop
91,2.0186,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
92,2.0497,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
93,2.0773,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
94,2.1029,5.1609,1.1703,9.8798,0.0,192.4216,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,Far,Stop
95,2.1307,5.1609,1.1703,9.8798,0.0,192.4216,0.0,-0.2635,1.1015,-0.5469,31.955,145.5446,59.8208,0.0,0.0,-0.055,0.0,0.0,0.0,-9.4552,39.5295,-17.6506,0.0,0.0,0.0,1.62,Far,Stop
